alt,mph
20175,474
36700,523
13225,380
33750,527
34725,525
38775,527
31100,518
21825,433
24150,527
14125,405
10800,260
18150,463
27125,506
23000,410
25800,444
36700,453
36675,520
13550,430
36675,497
32650,511
31575,534
24375,311
16325,440
31575,518
18500,440
32600,539
19050,456
22750,518
25850,398
21200,375
13575,458
26825,495
19500,486
35675,486
30375,486
21550,470
36525,516
10400,389
25425,502
36525,523
19300,444
23075,440
39625,516
28500,523
35700,506
32250,502
11575,384
34575,529
38725,523
13750,380
36525,520
40450,520
16125,336
16025,417
16075,428
9150,341
31475,541
28975,527
29775,509
15875,419
37600,511
18175,414
11000,320
31550,518
37600,525
37775,509
23275,435
22200,410
15650,407
24500,516
9875,357
22825,437
16250,389
30300,541
35750,513
39275,504
34550,543
21825,467
35800,500
18225,458
35450,516
28275,495
34475,516
38675,532
34575,520
28325,490
29475,534
38375,518
13175,435
13975,424
11050,331
27175,463
32350,516
36500,490
32475,520
24250,495
24050,458
39350,500
26250,520
18825,401
27425,513
36300,525
38350,523
25925,458
11400,405
23450,536
34425,529
8825,336
27425,382
24300,477
36550,513
22700,516
39350,520
15900,486
8275,322
36425,523
34350,509
21375,414
30475,500
40325,513
20675,442
38300,518
21375,502
30175,529
14550,444
23500,516
24850,474
18725,463
8175,331
30375,523
36525,511
36275,523
34875,525
34425,534
35400,536
33375,534
13275,424
17600,396
35200,552
29425,502
37350,513
30700,527
33350,520
13050,451
39300,548
37325,534
35275,509
29125,529
37500,548
28425,550
35425,518
39500,552
9000,334
28325,504
18325,407
35275,506
15925,419
24450,465
25400,495
34975,520
24450,497
24125,500
23300,440
39475,529
39375,511
25325,444
34775,546
21975,513
25475,474
36300,509
18475,380
33150,520
40225,518
22000,396
20200,456
32300,417
20725,437
29350,486
19575,421
38600,518
11025,265
33625,523
35550,532
24200,447
35275,527
16850,437
25350,451
14075,401
24500,470
23050,442
19150,373
22450,518
19000,449
30250,504
31250,532
20775,336
33325,532
11075,329
38125,525
20100,447
11150,382
40425,523
29125,465
18550,378
37325,523
28200,472
17025,403
29250,497
34400,532
28200,479
40425,518
20400,442
38375,502
37450,500
36400,532
21225,458
37575,516
22075,435
20075,442
15975,417
16050,440
29925,516
27250,467
26925,497
37525,529
24050,463
40450,541
33025,502
30275,504
24175,472
30100,509
33900,495
30200,532
40475,525
20525,440
34250,495
36350,520
31400,525
31575,509
27700,523
24500,490
13000,322
27075,495
8300,338
38400,523
22900,456
24975,500
37575,541
38425,523
38575,525
21675,497
23575,456
34325,516
24150,465
35525,529
36525,523
30375,543
34750,525
34775,527
26350,502
20275,352
38425,523
39900,525
37550,520
25100,470
13425,421
31250,511
38475,511
35300,527
26225,520
36350,529
29550,412
22550,430
27250,534
26100,315
21950,419
21725,502
20675,472
31250,504
24075,465
26075,527
33350,504
36350,509
41250,529
17075,405
19875,465
23925,474
32325,536
9200,315
34375,511
34300,527
36350,527
31175,523
21525,474
25900,453
34275,525
12325,391
33200,529
38350,520
29200,550
33200,520
37550,532
23100,311
26050,550
37275,532
28450,490
25025,470
40325,518
33425,495
9125,327
38325,529
15475,417
26200,490
23750,458
35425,529
19950,320
26550,465
18600,437
21925,304
36275,511
39550,529
18950,315
21850,444
35200,525
13250,442
19375,428
17650,361
35225,529
40375,513
30125,536
24300,465
12725,371
40400,520
26025,405
33275,527
34300,523
40425,520
33375,527
39500,509
28125,477
25150,451
23975,472
33325,529
39300,513
37600,525
38325,523
19875,433
16875,355
19825,453
30250,527
8325,315
36325,506
28025,529
18900,382
27200,518
39350,513
25025,474
28050,520
28150,495
19600,366
38875,470
9025,318
25625,511
18475,387
33400,490
34225,525
10925,341
35100,541
35350,518
31950,500
36375,520
40150,518
25025,479
35475,516
20900,428
30725,518
9500,327
29625,504
37300,518
40475,527
15975,442
33350,525
21525,477
36350,532
39425,472
36500,527
39925,488
18500,458
15500,405
39450,511
21025,421
10400,366
25775,500
36300,532
28600,497
27800,543
9850,318
41350,513
12975,355
10725,338
35500,502
31250,495
31150,520
11650,430
31200,536
19650,532
36350,520
38350,520
22075,465
30250,509
24900,509
13800,401
8200,320
40225,511
34300,534
38350,511
38400,516
23975,467
17325,414
28175,502
38225,523
32175,534
30350,504
23650,495
37125,529
9725,331
17050,451
10075,329
40125,500
20600,440
22600,458
9100,322
8200,327
35575,539
39450,543
35275,513
35250,527
16725,403
31125,529
36350,520
35075,516
29100,495
34375,513
20200,477
14575,417
29750,546
37200,520
32275,497
30100,511
40350,525
31625,518
28575,488
40300,525
17800,308
23625,442
36225,497
20425,486
23200,384
22150,479
38400,527
23350,483
35850,520
31300,520
29275,534
34225,516
36325,518
26050,543
22575,458
20400,424
22850,281
31325,511
15600,410
38250,504
18950,430
35400,470
32300,534
33300,511
31600,516
37400,516
35375,511
15850,453
23950,511
40475,532
38300,527
32450,534
33025,511
31375,479
23725,463
30650,541
27375,327
21850,474
22075,299
27325,525
37500,500
21100,308
33400,516
40450,502
26325,403
23075,481
22800,410
21125,315
36350,520
28325,511
22100,302
28300,509
11800,481
33375,534
15000,447
24225,419
36450,523
23525,479
21150,525
20000,421
10525,331
40500,467
34525,527
35475,407
32425,525
23250,456
24175,504
37475,513
34550,532
35575,518
22175,327
27775,502
35425,511
31450,536
23225,458
13700,391
23150,490
29350,529
30425,552
39575,493
24975,495
21875,483
19400,419
36550,550
20150,428
20450,449
25150,486
11550,380
22325,523
15575,426
28400,536
40575,513
8400,313
30475,536
21150,256
28400,477
35650,516
24575,447
22675,458
33550,534
36450,520
38500,520
22950,483
13450,424
13825,384
40550,463
35525,513
28875,523
19775,306
19100,456
21625,453
30450,520
16300,311
40500,467
38600,552
25250,500
31525,509
37600,513
34600,516
40425,523
36575,525
25325,470
28875,523
13150,311
12100,382
30250,536
38125,493
34500,516
19125,449
22475,486
14850,407
32525,520
36625,523
28550,509
29550,516
31525,467
25025,500
32650,527
23675,373
18050,467
30500,509
32500,516
30500,509
37550,509
9800,329
37475,511
30225,490
21725,405
30950,511
8075,274
19575,375
38550,546
25425,520
29275,502
33600,511
20200,458
26250,477
19500,401
18650,447
35550,511
25875,470
35600,523
29625,447
23325,302
36600,500
19650,433
32550,470
23450,523
40600,529
33550,527
27750,490
35650,520
39975,513
28675,550
15700,414
32650,532
14275,403
11375,338
39875,520
28350,541
35800,486
35225,523
26800,495
40675,520
22325,308
22825,444
36725,523
40675,502
26500,327
40750,534
28500,479
30075,490
22375,495
29925,529
32625,523
36750,541
26450,329
32650,525
33600,532
26475,532
15875,375
18575,391
36625,525
35700,523
35650,516
22750,269
36675,520
32575,490
26725,470
28475,534
40650,518
23850,458
26775,495
30525,546
40700,509
23875,486
25900,511
37700,488
23425,325
15500,405
34700,527
20300,435
31600,541
16575,308
17550,308
37825,516
33725,523
30650,532
32600,527
19525,467
35725,529
35800,516
26825,516
38750,518
12800,327
9850,279
31550,532
35700,539
26275,495
23400,456
35700,513
34700,506
27525,516
30425,532
10350,410
34725,525
36675,529
35750,532
32250,516
25050,477
10675,355
20925,483
36775,527
26175,391
35725,518
16575,470
26850,474
30650,518
37800,532
36725,532
37725,518
35725,525
10575,338
39800,502
32650,520
25900,428
38775,527
30575,527
23775,442
33175,516
31600,513
34675,541
28200,504
26650,513
26275,474
23050,477
23475,500
36750,548
26600,518
28650,529
11600,412
38775,523
32675,536
38800,525
8675,336
38475,506
34175,518
30625,523
32625,518
38275,518
17050,456
36750,523
32675,529
21400,456
36800,520
23475,470
37825,504
20100,479
20875,467
35725,504
18700,403
16000,419
31650,527
15475,412
35750,541
36700,523
9400,327
33675,518
11050,341
26825,543
10300,336
37725,513
40825,527
35725,523
37750,520
35650,532
11425,371
26275,525
23550,511
38825,552
37675,532
37650,513
8275,322
8775,327
27675,502
28625,444
23125,449
31825,506
24125,477
35750,536
39850,428
26175,428
26825,552
22850,465
15150,453
37675,534
25075,477
34550,513
20925,428
24300,456
40850,523
35000,424
35725,509
35750,518
17800,477
35625,527
26625,329
40550,534
21175,357
39725,527
29625,327
24525,483
40875,513
19825,437
18125,449
23875,437
21650,447
32625,532
37000,525
20275,283
35650,529
22600,456
23125,451
32075,451
36725,527
25425,506
19400,458
38850,548
27850,529
25550,315
26425,493
8250,308
33700,511
35750,523
24875,513
37750,516
38750,523
16925,414
32600,398
24200,497
24225,470
36725,481
35850,525
38775,523
27600,500
27175,481
17550,433
38775,527
29725,497
33725,502
33675,520
21475,440
26325,477
19425,433
11975,380
9500,320
30600,490
30250,520
21425,442
33675,518
